Datetime,Volume,Open,High,Low,Close
2020-10-21 04:00:00,92.0,1.18469,1.1847,1.18456,1.18465
2020-10-21 04:05:00,143.0,1.18466,1.18474,1.1845,1.1845
2020-10-21 04:10:00,50.0,1.18452,1.18459,1.18452,1.18455
2020-10-21 04:15:00,70.0,1.18454,1.18463,1.1845,1.18462
2020-10-21 04:20:00,52.0,1.1846,1.18462,1.18446,1.18454
2020-10-21 04:25:00,86.0,1.18453,1.18476,1.18453,1.1847
2020-10-21 04:30:00,101.0,1.18468,1.18479,1.18456,1.18476
2020-10-21 04:35:00,278.0,1.18475,1.18484,1.18464,1.18468
2020-10-21 04:40:00,176.0,1.18467,1.18479,1.18452,1.18473
2020-10-21 04:45:00,124.0,1.18474,1.18494,1.18472,1.18485
2020-10-21 04:50:00,65.0,1.18484,1.18498,1.18484,1.18492
2020-10-21 04:55:00,115.0,1.18493,1.18494,1.18474,1.18477
2020-10-21 05:00:00,101.0,1.18478,1.18484,1.18474,1.18482
2020-10-21 05:05:00,124.0,1.18482,1.18492,1.18472,1.18481
2020-10-21 05:10:00,111.0,1.18479,1.18485,1.18462,1.18475
2020-10-21 05:15:00,104.0,1.18476,1.1848,1.18466,1.1847
2020-10-21 05:20:00,146.0,1.18468,1.18472,1.18444,1.1845
2020-10-21 05:25:00,171.0,1.18448,1.18452,1.18428,1.1844
2020-10-21 05:30:00,174.0,1.18438,1.18454,1.18432,1.18449
2020-10-21 05:35:00,91.0,1.18448,1.18453,1.18436,1.1845
2020-10-21 05:40:00,109.0,1.18451,1.18476,1.18449,1.18474
2020-10-21 05:45:00,143.0,1.18472,1.18479,1.18454,1.18466
2020-10-21 05:50:00,153.0,1.18468,1.18499,1.18462,1.18494
2020-10-21 05:55:00,161.0,1.18493,1.18493,1.18456,1.18459
2020-10-21 06:00:00,388.0,1.1846,1.18466,1.18434,1.18455
2020-10-21 06:05:00,233.0,1.18456,1.18476,1.18456,1.18468
2020-10-21 06:10:00,648.0,1.18468,1.18544,1.1845,1.18527
2020-10-21 06:15:00,506.0,1.18528,1.18582,1.18513,1.18582
2020-10-21 06:20:00,406.0,1.18582,1.18588,1.18538,1.18558
2020-10-21 06:25:00,622.0,1.1856,1.18626,1.18538,1.18616
2020-10-21 06:30:00,496.0,1.18615,1.18618,1.18562,1.18596
2020-10-21 06:35:00,352.0,1.18598,1.18608,1.18578,1.18587
2020-10-21 06:40:00,450.0,1.18588,1.18629,1.18582,1.18603
2020-10-21 06:45:00,491.0,1.18604,1.18611,1.18579,1.1859
2020-10-21 06:50:00,392.0,1.18592,1.18613,1.18583,1.18588
2020-10-21 06:55:00,584.0,1.18589,1.18602,1.18545,1.18552
2020-10-21 07:00:00,830.0,1.18551,1.18566,1.18529,1.18564
2020-10-21 07:05:00,544.0,1.18562,1.18609,1.1856,1.18608
2020-10-21 07:10:00,781.0,1.18607,1.18626,1.18568,1.18595
2020-10-21 07:15:00,655.0,1.18594,1.1862,1.18558,1.18559
2020-10-21 07:20:00,555.0,1.18558,1.18563,1.18508,1.1852
2020-10-21 07:25:00,696.0,1.18518,1.1856,1.18491,1.18518
2020-10-21 07:30:00,663.0,1.18518,1.18518,1.18474,1.18512
2020-10-21 07:35:00,582.0,1.18513,1.18581,1.185,1.18562
2020-10-21 07:40:00,517.0,1.18564,1.18585,1.18536,1.1855
2020-10-21 07:45:00,571.0,1.1855,1.1856,1.18514,1.18532
2020-10-21 07:50:00,670.0,1.18534,1.1855,1.18508,1.18542
2020-10-21 07:55:00,1046.0,1.18542,1.18704,1.18538,1.18676
2020-10-21 08:00:00,789.0,1.18674,1.18676,1.18615,1.18616
2020-10-21 08:05:00,521.0,1.18614,1.18654,1.18613,1.18642
2020-10-21 08:10:00,513.0,1.18641,1.18672,1.18636,1.18668
2020-10-21 08:15:00,537.0,1.18666,1.18673,1.18614,1.18618
2020-10-21 08:20:00,717.0,1.18619,1.18643,1.18568,1.18578
2020-10-21 08:25:00,534.0,1.1858,1.1859,1.18552,1.18552
2020-10-21 08:30:00,603.0,1.18551,1.18551,1.18514,1.18536
2020-10-21 08:35:00,418.0,1.18534,1.18587,1.18532,1.18574
2020-10-21 08:40:00,451.0,1.18574,1.18602,1.18555,1.18596
2020-10-21 08:45:00,488.0,1.18597,1.18612,1.18562,1.18576
2020-10-21 08:50:00,524.0,1.18574,1.1858,1.18513,1.18544
2020-10-21 08:55:00,450.0,1.18542,1.18542,1.18494,1.18507
2020-10-21 09:00:00,607.0,1.18506,1.18526,1.18483,1.18524
2020-10-21 09:05:00,576.0,1.18523,1.18564,1.1851,1.1855
2020-10-21 09:10:00,567.0,1.18548,1.18551,1.18486,1.18487
2020-10-21 09:15:00,427.0,1.18486,1.18516,1.18474,1.18483
2020-10-21 09:20:00,507.0,1.18482,1.18482,1.18445,1.18467
2020-10-21 09:25:00,623.0,1.18466,1.18474,1.18442,1.1846
2020-10-21 09:30:00,575.0,1.18461,1.18484,1.18436,1.18458
2020-10-21 09:35:00,548.0,1.1846,1.18478,1.18438,1.18452
2020-10-21 09:40:00,466.0,1.18453,1.18474,1.1844,1.18453
2020-10-21 09:45:00,481.0,1.18452,1.18476,1.1844,1.1845
2020-10-21 09:50:00,608.0,1.1845,1.18492,1.18446,1.18478
2020-10-21 09:55:00,426.0,1.18478,1.1848,1.18445,1.18448
2020-10-21 10:00:00,605.0,1.1845,1.18516,1.18428,1.18481
2020-10-21 10:05:00,429.0,1.1848,1.18487,1.18458,1.18464
2020-10-21 10:10:00,464.0,1.18462,1.1851,1.1846,1.18498
2020-10-21 10:15:00,383.0,1.18497,1.18524,1.18476,1.18496
2020-10-21 10:20:00,320.0,1.18495,1.18518,1.18484,1.18498
2020-10-21 10:25:00,274.0,1.18496,1.1851,1.18478,1.18502
2020-10-21 10:30:00,348.0,1.18501,1.18536,1.18493,1.18526
2020-10-21 10:35:00,265.0,1.18528,1.1856,1.18525,1.18556
2020-10-21 10:40:00,343.0,1.18554,1.18562,1.18542,1.18561
2020-10-21 10:45:00,445.0,1.1856,1.18598,1.18559,1.18579
2020-10-21 10:50:00,325.0,1.18577,1.18578,1.18553,1.18558
2020-10-21 10:55:00,290.0,1.18559,1.18591,1.18554,1.18591
2020-10-21 11:00:00,516.0,1.18592,1.18592,1.1856,1.1857
