Datetime,Volume,Open,High,Low,Close
2020-10-20 04:00:00,174.0,1.17761,1.17761,1.17734,1.17756
2020-10-20 04:05:00,131.0,1.17754,1.17775,1.17749,1.17772
2020-10-20 04:10:00,67.0,1.17772,1.17777,1.17766,1.17776
2020-10-20 04:15:00,58.0,1.17778,1.1778,1.17768,1.1777
2020-10-20 04:20:00,77.0,1.17768,1.1777,1.17756,1.17764
2020-10-20 04:25:00,40.0,1.17766,1.1777,1.17764,1.17768
2020-10-20 04:30:00,77.0,1.17767,1.17768,1.17756,1.17764
2020-10-20 04:35:00,40.0,1.17766,1.17766,1.17759,1.17764
2020-10-20 04:40:00,14.0,1.17764,1.17769,1.17764,1.17769
2020-10-20 04:45:00,44.0,1.17768,1.17776,1.17764,1.17764
2020-10-20 04:50:00,41.0,1.17762,1.17776,1.17762,1.17774
2020-10-20 04:55:00,58.0,1.17774,1.17776,1.17768,1.1777
2020-10-20 05:00:00,107.0,1.17772,1.17792,1.17768,1.17788
2020-10-20 05:05:00,101.0,1.1779,1.17799,1.17784,1.1779
2020-10-20 05:10:00,103.0,1.17792,1.17806,1.17788,1.17799
2020-10-20 05:15:00,117.0,1.17798,1.17806,1.17784,1.1779
2020-10-20 05:20:00,66.0,1.17788,1.17794,1.17784,1.17784
2020-10-20 05:25:00,102.0,1.17785,1.17786,1.1776,1.17764
2020-10-20 05:30:00,161.0,1.17762,1.17762,1.17738,1.1775
2020-10-20 05:35:00,121.0,1.17748,1.17748,1.17736,1.17739
2020-10-20 05:40:00,149.0,1.17738,1.17756,1.17734,1.17756
2020-10-20 05:45:00,100.0,1.17756,1.1776,1.17749,1.17758
2020-10-20 05:50:00,172.0,1.17759,1.17791,1.17756,1.1779
2020-10-20 05:55:00,183.0,1.17788,1.17794,1.17768,1.17776
2020-10-20 06:00:00,273.0,1.17778,1.17784,1.17744,1.17746
2020-10-20 06:05:00,267.0,1.17746,1.1775,1.17727,1.17736
2020-10-20 06:10:00,248.0,1.17737,1.17738,1.17702,1.1772
2020-10-20 06:15:00,327.0,1.17719,1.17752,1.17718,1.1773
2020-10-20 06:20:00,398.0,1.17729,1.17762,1.17726,1.17759
2020-10-20 06:25:00,301.0,1.1776,1.17773,1.17742,1.1775
2020-10-20 06:30:00,355.0,1.1775,1.17788,1.17748,1.17758
2020-10-20 06:35:00,271.0,1.17756,1.17759,1.17732,1.17749
2020-10-20 06:40:00,282.0,1.1775,1.1775,1.17724,1.1773
2020-10-20 06:45:00,242.0,1.1773,1.17732,1.17701,1.17732
2020-10-20 06:50:00,274.0,1.17733,1.17746,1.17725,1.17746
2020-10-20 06:55:00,389.0,1.17745,1.17745,1.17667,1.17672
2020-10-20 07:00:00,609.0,1.17674,1.17744,1.17674,1.1773
2020-10-20 07:05:00,557.0,1.1773,1.1773,1.17663,1.17665
2020-10-20 07:10:00,578.0,1.17666,1.17683,1.17634,1.17634
2020-10-20 07:15:00,575.0,1.17634,1.1765,1.17599,1.17643
2020-10-20 07:20:00,449.0,1.17642,1.17656,1.17614,1.17636
2020-10-20 07:25:00,440.0,1.17634,1.1766,1.17627,1.17644
2020-10-20 07:30:00,559.0,1.17645,1.17684,1.17631,1.1764
2020-10-20 07:35:00,389.0,1.17641,1.1767,1.17637,1.17666
2020-10-20 07:40:00,564.0,1.17664,1.17728,1.17662,1.1772
2020-10-20 07:45:00,440.0,1.17718,1.17744,1.17711,1.17722
2020-10-20 07:50:00,457.0,1.1772,1.1772,1.17672,1.17714
2020-10-20 07:55:00,593.0,1.17715,1.17787,1.1771,1.17768
2020-10-20 08:00:00,557.0,1.17767,1.17768,1.17704,1.17753
2020-10-20 08:05:00,338.0,1.17752,1.17756,1.1772,1.17736
2020-10-20 08:10:00,526.0,1.17734,1.1784,1.17716,1.17828
2020-10-20 08:15:00,381.0,1.17828,1.1783,1.17794,1.17806
2020-10-20 08:20:00,367.0,1.17804,1.17862,1.178,1.17856
2020-10-20 08:25:00,444.0,1.17858,1.17858,1.17822,1.17835
2020-10-20 08:30:00,400.0,1.17834,1.17834,1.17764,1.17774
2020-10-20 08:35:00,307.0,1.17772,1.17808,1.1777,1.17804
