Datetime,Volume,Open,High,Low,Close
2020-11-04 02:30:00,1408.0,1.16408,1.16433,1.16298,1.16428
2020-11-04 02:35:00,1206.0,1.16426,1.16432,1.1629,1.16292
2020-11-04 02:40:00,1788.0,1.1629,1.16352,1.16027,1.16153
2020-11-04 02:45:00,1689.0,1.16152,1.16252,1.16108,1.16127
2020-11-04 02:50:00,1511.0,1.16126,1.16407,1.161,1.1632
2020-11-04 02:55:00,1433.0,1.16321,1.16334,1.16114,1.16191
2020-11-04 03:00:00,1510.0,1.16193,1.16408,1.16156,1.16244
2020-11-04 03:05:00,1218.0,1.16246,1.16346,1.16199,1.16346
2020-11-04 03:10:00,1159.0,1.16345,1.1641,1.16332,1.16377
2020-11-04 03:15:00,1507.0,1.16379,1.16654,1.16379,1.1649
2020-11-04 03:20:00,1110.0,1.16489,1.16606,1.16489,1.16506
2020-11-04 03:25:00,835.0,1.16508,1.16522,1.16436,1.16508
2020-11-04 03:30:00,796.0,1.1651,1.16517,1.16372,1.16423
2020-11-04 03:35:00,666.0,1.16422,1.16462,1.16382,1.16422
2020-11-04 03:40:00,1213.0,1.1642,1.16592,1.16398,1.16471
2020-11-04 03:45:00,562.0,1.1647,1.16478,1.16401,1.1643
2020-11-04 03:50:00,767.0,1.16431,1.16437,1.16332,1.1638
2020-11-04 03:55:00,571.0,1.16382,1.16466,1.16374,1.16446
2020-11-04 04:00:00,480.0,1.16444,1.1646,1.16418,1.16437
2020-11-04 04:05:00,444.0,1.16435,1.1648,1.16385,1.16472
2020-11-04 04:10:00,424.0,1.16474,1.16478,1.16438,1.16461
2020-11-04 04:15:00,374.0,1.1646,1.16476,1.16377,1.16386
2020-11-04 04:20:00,840.0,1.16384,1.16469,1.16312,1.16445
2020-11-04 04:25:00,757.0,1.16444,1.16608,1.16444,1.1657
2020-11-04 04:30:00,1078.0,1.16568,1.16766,1.16532,1.16718
2020-11-04 04:35:00,578.0,1.1672,1.16728,1.16598,1.16612
2020-11-04 04:40:00,451.0,1.16613,1.1663,1.1655,1.1657
2020-11-04 04:45:00,646.0,1.16568,1.16626,1.16487,1.16622
2020-11-04 04:50:00,401.0,1.16621,1.16648,1.1657,1.16578
2020-11-04 04:55:00,364.0,1.16576,1.1662,1.16536,1.16544
2020-11-04 05:00:00,523.0,1.16542,1.16591,1.16486,1.16564
2020-11-04 05:05:00,607.0,1.16563,1.16698,1.1653,1.16674
2020-11-04 05:10:00,1112.0,1.16675,1.16823,1.16675,1.16734
2020-11-04 05:15:00,699.0,1.16734,1.16756,1.16616,1.16648
2020-11-04 05:20:00,515.0,1.1665,1.16736,1.16629,1.16662
2020-11-04 05:25:00,401.0,1.16664,1.16719,1.16661,1.16678
2020-11-04 05:30:00,391.0,1.16677,1.16695,1.16622,1.16641
2020-11-04 05:35:00,380.0,1.1664,1.16697,1.16623,1.16643
2020-11-04 05:40:00,389.0,1.16642,1.16645,1.16582,1.166
2020-11-04 05:45:00,601.0,1.16602,1.16643,1.16535,1.16548
2020-11-04 05:50:00,490.0,1.16546,1.16594,1.16543,1.16554
2020-11-04 05:55:00,671.0,1.16555,1.16636,1.16499,1.1659
2020-11-04 06:00:00,685.0,1.16588,1.16589,1.16496,1.16526
2020-11-04 06:05:00,632.0,1.16527,1.16555,1.16495,1.1654
2020-11-04 06:10:00,772.0,1.16541,1.1666,1.16522,1.16578
2020-11-04 06:15:00,603.0,1.16578,1.1659,1.16499,1.16512
2020-11-04 06:20:00,537.0,1.16514,1.16586,1.16512,1.16562
2020-11-04 06:25:00,412.0,1.1656,1.16571,1.1652,1.1656
2020-11-04 06:30:00,475.0,1.16562,1.16578,1.16525,1.16526
2020-11-04 06:35:00,418.0,1.16524,1.16575,1.1652,1.16538
2020-11-04 06:40:00,622.0,1.16536,1.16551,1.16426,1.16452
2020-11-04 06:45:00,635.0,1.16453,1.16481,1.16416,1.16469
2020-11-04 06:50:00,648.0,1.16471,1.16478,1.16361,1.16408
2020-11-04 06:55:00,491.0,1.16406,1.16466,1.16403,1.16444
2020-11-04 07:00:00,721.0,1.16442,1.16481,1.16397,1.16421
2020-11-04 07:05:00,586.0,1.16422,1.16464,1.16395,1.16426
2020-11-04 07:10:00,620.0,1.16428,1.1643,1.16357,1.16384
2020-11-04 07:15:00,503.0,1.16385,1.16398,1.16358,1.16381
2020-11-04 07:20:00,839.0,1.16382,1.16422,1.16352,1.16396
2020-11-04 07:25:00,1038.0,1.16394,1.16428,1.16284,1.16302
2020-11-04 07:30:00,1426.0,1.163,1.1643,1.16296,1.16342
2020-11-04 07:35:00,1133.0,1.16344,1.16402,1.16318,1.16375
2020-11-04 07:40:00,1134.0,1.16376,1.1644,1.16339,1.16436
2020-11-04 07:45:00,1060.0,1.16434,1.16434,1.16314,1.16358
2020-11-04 07:50:00,1049.0,1.16357,1.1647,1.16346,1.16458
2020-11-04 07:55:00,1335.0,1.16456,1.16618,1.1642,1.16614
2020-11-04 08:00:00,1438.0,1.16612,1.16641,1.16546,1.16578
2020-11-04 08:05:00,1153.0,1.16579,1.16645,1.16564,1.16614
2020-11-04 08:10:00,1068.0,1.16615,1.16642,1.1655,1.1657
2020-11-04 08:15:00,900.0,1.16568,1.16647,1.16558,1.16579
2020-11-04 08:20:00,1098.0,1.16577,1.16698,1.16541,1.16698
2020-11-04 08:25:00,1323.0,1.16696,1.16788,1.16644,1.16758
2020-11-04 08:30:00,981.0,1.16756,1.16799,1.16709,1.16796
2020-11-04 08:35:00,1255.0,1.16798,1.16954,1.16798,1.16876
2020-11-04 08:40:00,878.0,1.16878,1.16915,1.1683,1.16834
2020-11-04 08:45:00,727.0,1.16836,1.16866,1.16802,1.1682
2020-11-04 08:50:00,764.0,1.16822,1.16852,1.16724,1.16728
2020-11-04 08:55:00,767.0,1.1673,1.16744,1.16667,1.16681
2020-11-04 09:00:00,951.0,1.16679,1.16704,1.16631,1.1668
2020-11-04 09:05:00,706.0,1.16682,1.16765,1.1667,1.16755
2020-11-04 09:10:00,890.0,1.16757,1.16791,1.16699,1.16704
2020-11-04 09:15:00,534.0,1.16703,1.1674,1.16696,1.1671
2020-11-04 09:20:00,539.0,1.16711,1.1673,1.16694,1.16704
2020-11-04 09:25:00,640.0,1.16702,1.16731,1.1665,1.16702
2020-11-04 09:30:00,549.0,1.16701,1.16722,1.16661,1.16661
2020-11-04 09:35:00,757.0,1.1666,1.16765,1.16652,1.16721
2020-11-04 09:40:00,873.0,1.1672,1.16774,1.16696,1.16764
2020-11-04 09:45:00,1382.0,1.16766,1.16898,1.1675,1.16865
2020-11-04 09:50:00,868.0,1.16864,1.1689,1.16792,1.16808
2020-11-04 09:55:00,845.0,1.16806,1.16817,1.16726,1.16758
2020-11-04 10:00:00,769.0,1.1676,1.16802,1.16728,1.16746
2020-11-04 10:05:00,618.0,1.16748,1.16797,1.16722,1.16797
2020-11-04 10:10:00,434.0,1.16798,1.16804,1.16754,1.16775
