Datetime,Volume,Open,High,Low,Close
2020-10-22 04:00:00,74.0,1.18424,1.18433,1.1842,1.18421
2020-10-22 04:05:00,84.0,1.1842,1.18424,1.18412,1.1842
2020-10-22 04:10:00,78.0,1.1842,1.18428,1.18414,1.18426
2020-10-22 04:15:00,47.0,1.18425,1.18428,1.18422,1.18424
2020-10-22 04:20:00,63.0,1.18424,1.18426,1.18412,1.18418
2020-10-22 04:25:00,43.0,1.1842,1.1843,1.18417,1.18428
2020-10-22 04:30:00,48.0,1.18428,1.18429,1.18424,1.18426
2020-10-22 04:35:00,79.0,1.18425,1.1844,1.18424,1.1844
2020-10-22 04:40:00,89.0,1.18439,1.18448,1.18436,1.18443
2020-10-22 04:45:00,87.0,1.18442,1.18454,1.1844,1.18452
2020-10-22 04:50:00,77.0,1.18451,1.18452,1.18444,1.18451
2020-10-22 04:55:00,70.0,1.1845,1.18451,1.18438,1.18448
2020-10-22 05:00:00,113.0,1.18448,1.18451,1.18426,1.18447
2020-10-22 05:05:00,111.0,1.18448,1.18462,1.18446,1.18456
2020-10-22 05:10:00,136.0,1.18456,1.18458,1.18439,1.18455
2020-10-22 05:15:00,104.0,1.18454,1.18462,1.1845,1.18461
2020-10-22 05:20:00,82.0,1.18462,1.18472,1.18456,1.18468
2020-10-22 05:25:00,129.0,1.18469,1.18492,1.18468,1.18487
2020-10-22 05:30:00,201.0,1.18486,1.185,1.18482,1.18496
2020-10-22 05:35:00,139.0,1.18494,1.185,1.18486,1.18492
2020-10-22 05:40:00,113.0,1.1849,1.18499,1.18481,1.18484
2020-10-22 05:45:00,96.0,1.18486,1.18486,1.1847,1.18472
2020-10-22 05:50:00,103.0,1.18471,1.18484,1.18471,1.18477
2020-10-22 05:55:00,167.0,1.18475,1.18492,1.18466,1.18484
2020-10-22 06:00:00,355.0,1.18485,1.18512,1.18485,1.18496
2020-10-22 06:05:00,259.0,1.18498,1.1852,1.18498,1.18516
2020-10-22 06:10:00,251.0,1.18514,1.18535,1.18511,1.18526
2020-10-22 06:15:00,297.0,1.18524,1.18551,1.18522,1.18548
2020-10-22 06:20:00,288.0,1.18546,1.18569,1.18538,1.18566
2020-10-22 06:25:00,204.0,1.18564,1.18567,1.18536,1.18548
2020-10-22 06:30:00,294.0,1.18547,1.18574,1.18547,1.18564
2020-10-22 06:35:00,268.0,1.18563,1.18573,1.18552,1.18564
2020-10-22 06:40:00,301.0,1.18562,1.18596,1.18552,1.18559
2020-10-22 06:45:00,220.0,1.1856,1.18573,1.18548,1.18571
2020-10-22 06:50:00,338.0,1.18572,1.18576,1.18526,1.18526
2020-10-22 06:55:00,501.0,1.18524,1.18528,1.18478,1.18485
2020-10-22 07:00:00,895.0,1.18484,1.18518,1.18416,1.1842
2020-10-22 07:05:00,804.0,1.18422,1.18464,1.18404,1.18456
2020-10-22 07:10:00,610.0,1.18458,1.18498,1.18444,1.18496
2020-10-22 07:15:00,712.0,1.18496,1.18528,1.18466,1.18525
2020-10-22 07:20:00,514.0,1.18524,1.18565,1.18504,1.18558
2020-10-22 07:25:00,674.0,1.18556,1.18632,1.1854,1.18608
